Protein;MW;100K1;100K2;100K3;100K4;50K1;50K2;50K3;50K4;30K1;30K2;30K3;30K4;10K1;10K2;10K3;10K4
P41734;27346.25;17211.515625;20680.978515625;11547.4697265625;18634.75390625;53043.66015625;72072.78125;49690.828125;48616.94140625;170850.703125;30235.15234375;53289.29296875;63928.3359375;0;0;0;0
P41805;25361.34;4284222.5;4070992.5;3607889.5;3546081;18804.9765625;19914.703125;16873.34375;14474.71484375;24046.857421875;33256.8515625;49524.77734375;36326.1640625;228213.421875;163636.65625;135574.109375;93800.765625
P41807;54415.82;32249.22265625;36740.58203125;54003.12890625;52618.328125;16941.27734375;17080.076171875;14803.986328125;24599.357421875;51522.4296875;41331.3828125;55863.84765625;39720.65625;607805.9375;492843.84375;375453.875;332643.40625
P41810;109019.49;19160.234375;28955.734375;35349.41015625;40136.36328125;0;0;0;0;0;0;0;0;129285.1484375;94133.5703125;89161.625;90090.0703125
P41811;99444.78;15525.3193359375;15784.1806640625;21721.650390625;24880.9609375;49132.296875;29739.806640625;23881.244140625;21253.466796875;15914.970703125;16505.865234375;15136.1279296875;15470.4521484375;56627.609375;49631.90234375;25990.2578125;22879.34765625
P41813;94374.46;0;0;0;0;36370.1328125;21730.76953125;29428.1875;46715.140625;146270.25;159734.4375;158909.640625;159353.53125;316149.625;289497.875;266439.65625;307467.125
P41814;54389.35;0;0;0;0;0;0;0;0;0;0;0;0;214223;188894.484375;145746.984375;139033.71875
P41818;26648.98;331589.3125;311911.25;311476.75;298704.8125;939936.6875;929746.4375;993607.75;1105396.125;1709659;2305042;2260341.25;1983549.375;1249662.875;1310616;1343775;1374437
P41832;219672.63;30898.318359375;31506.66796875;42713.92578125;23366.927734375;25629.765625;26573.97265625;27628.962890625;38585.1015625;66291.2890625;118717.5078125;98762.8671875;98478.8828125;183990.015625;145612.625;139090.21875;174013.03125
P41895;82194.43;67083.75;62937.25390625;62135.9765625;55260.7734375;105136.1015625;117653.5078125;108108.703125;143836.875;427885.5625;565581;556835.875;548729.0625;1555702.75;1453386.125;1405241.25;1481395
P41896;46605.45;15976.1474609375;19645.7421875;13794.734375;13732.4111328125;21600.10546875;16312.173828125;15251.6640625;19180.630859375;47940.19140625;40036.60546875;35995.640625;28375.873046875;244526.078125;251323.1875;190786.859375;208177.1875
P41913;57048.35;0;0;0;0;7721.14453125;7068.0908203125;3736.28637695313;7145.791015625;9628.76953125;27535.57421875;32837.36328125;25205.685546875;69149.3359375;57891.26171875;62491.5859375;65853.25
P41920;22952.98;653910.5625;562564.125;508280.1875;529733.875;2453876.25;2267120;2240300;2676907.5;7021632.5;10092510;11541563;9494545;1681631.5;2889014.75;3893760.5;3821121.75
P41921;53440.91;15359.08984375;21148.203125;22618.75;32408.10546875;23749.2734375;52441.13671875;68985.2109375;15699.9775390625;45490.6953125;9871.6474609375;5777.0517578125;7589.896484375;0;0;0;0
P41940;39565.91;442449.25;512501.96875;552416;557358.0625;1323454.875;1439384.5;1751776.375;1108416;4298824.5;646217.8125;728542.4375;933147.625;406168.65625;356726;300301.75;273844.53125
P42073;59818.67;0;0;0;0;40620.66796875;34301;33407.4375;42203.35546875;56855.4140625;74071.09375;75968.8515625;70202.5078125;197022.484375;186413.953125;149513.8125;172279.828125
P42826;68320.92;37465.640625;58372.58984375;54251.53515625;61864.375;138211.4375;201675.578125;182678.078125;65698.390625;384604.21875;141036.015625;160843.78125;229686.03125;67903.4296875;53786.11328125;58039.359375;112086.7734375
P42838;47437.58;39063.49609375;44793.09765625;41201.41796875;34407.45703125;0;0;0;0;0;0;0;0;0;0;0;0
P42839;102498.66;0;0;0;0;0;0;0;0;21627.369140625;23241.5078125;20603.734375;23390.34765625;47984.79296875;40758.01171875;39596.78515625;31776.091796875
P42844;19855.02;9919.1650390625;10927.603515625;14228.6826171875;12841.994140625;46710.79296875;38731.59765625;42023.92578125;52470.02734375;99472.2265625;134376.546875;117444.3046875;130873.671875;104057.1875;123704.890625;145598.546875;141073.09375
P42845;45683.65;0;0;0;0;31634.517578125;23088.037109375;26141.265625;35222.61328125;292353.34375;295483.125;229557.84375;212676.71875;412483.40625;421499.0625;379088.375;418642.96875
P42846;68653.8;107877.09375;108121.84375;108999.265625;100926.4140625;243298.84375;228720.484375;221480.59375;244024.078125;721557.9375;821912.0625;746180.5625;759416.625;1005187.3125;873413.25;865248.375;927753.25
P42934;88026.13;38825.3203125;38246.375;31808.80078125;21408.23046875;0;0;0;0;0;0;0;0;119832.2734375;148415.03125;74122.4140625;106451.171875
P42936;26297.04;18550.974609375;23367.609375;13026.3564453125;17453.103515625;99369.1640625;142461.390625;109183.0859375;29200.958984375;0;0;0;0;0;0;0;0
P42937;17248.54;0;0;0;0;0;0;0;0;464723.875;57492.3515625;56568.140625;77602.5234375;286432.28125;318026.1875;251371.78125;259916.125
P42938;33336.83;0;0;0;0;0;0;0;0;521601.34375;1634.291015625;19335.427734375;48197.73046875;0;0;0;0
P42940;28758.64;59846.35546875;58454.7734375;56138.62890625;44482.07421875;115728.9921875;99543.9296875;98036.7890625;110868.40625;303864.03125;321964.8125;322814.40625;351859;388485.4375;319992.71875;300918.96875;351103.28125
P42941;34207.28;0;0;0;0;41978.625;59359.51171875;47662.234375;32442.216796875;712027.75;116753.34375;143823.6875;174793.515625;112901.5625;85890.2109375;60343.921875;71430.96875
P42942;45214;27606.294921875;33536.21484375;32436.599609375;25842.80859375;34746.37109375;50770.30078125;41995.84765625;13447.5185546875;0;0;0;0;35815.41015625;19289.537109375;15747.626953125;19941.96484375
P42943;59735.6;53994.0078125;50062.54296875;60451.80078125;60400.71875;34495.16796875;30403.9296875;30697.384765625;42596.5078125;63713.6328125;85436.2421875;74691.1796875;74860.828125;546726.3125;522778.15625;506375.75;389279.625
P42944;60519.69;6744.16845703125;7782.61572265625;6613.33251953125;6035.6083984375;11809.78125;10044.1220703125;9528.279296875;10694.3818359375;3413.08715820313;23568.11328125;21417.427734375;24285.87109375;73673.0625;58073.82421875;60542.7421875;59998.625
P42945;200081.57;0;0;0;0;0;0;0;0;0;0;0;0;29251.33984375;25284.90234375;12418.1396484375;9702.58984375
P42949;16215.99;33618.59375;28394.49609375;32047.978515625;27645.541015625;19135.046875;26736.966796875;22842.61328125;29163.826171875;89083.515625;116418.4609375;86464.2890625;83072.7734375;347603.375;298777.03125;255878;273769.5
P43123;53476.02;22668.212890625;26108.234375;32187.91015625;34848.11328125;69619.1875;99556.9921875;97342.1328125;30560.08203125;433875.125;33587.13671875;50977.30078125;92160.8125;19557.83203125;19242.564453125;26789.109375;16762.849609375
P43124;46120.9;0;0;0;0;0;0;0;0;6926.24267578125;7501.947265625;8485.8837890625;7078.8115234375;59930.87109375;50745.65234375;50498.84765625;60479.3359375
P43321;11224.13;43218.734375;49097.421875;47138.06640625;45309.47265625;34503.9765625;29028.62890625;30694.5859375;33789.6796875;98545.5703125;145719.171875;149108.921875;187800.484375;288837.5625;224907.4375;228854.28125;227528.21875
P43535;85027.46;235683.453125;223863.734375;271730.875;205968.96875;251850.390625;229774.703125;210725.15625;221736.40625;191666.53125;297834.03125;238886.90625;317654.71875;420332.5625;377789;395178.03125;347945.5
P43554;70275.79;0;0;0;0;0;0;0;0;0;0;0;0;45456.25390625;33358.08203125;35987.78515625;43749.62109375
P43555;50330.44;27602.533203125;35785.53125;47999.48828125;31221.08984375;0;0;0;0;0;0;0;0;0;0;0;0
P43558;33509.91;12941.1103515625;17538.875;22502.154296875;25122.71484375;60920.25;74859.7734375;56983.5703125;55223.24609375;114765.546875;126299.3828125;102635.1875;119055.90625;135893.765625;111845.2890625;93808.6484375;79718.2421875
P43560;76347.23;15770.0205078125;10848.765625;13332.3662109375;13234.2568359375;22035.798828125;20117.884765625;20756.814453125;24309.7578125;26534.22265625;64263.44140625;57394.69921875;50221.55078125;84408.875;82998.5859375;97375.0390625;95670.6484375
P43564;119510.43;0;0;0;0;0;0;0;0;35325.2578125;46005.67578125;39830.51953125;43160.67578125;86584.2421875;86416.390625;90169.4296875;56079.921875
P43565;196531.08;0;0;0;0;0;0;0;0;23657.9296875;18789.32421875;19923.5390625;22019.892578125;90853.6484375;55955.625;58313.5;65409.55859375
P43573;91421.87;14170.765625;12095.3251953125;17173.1640625;11655.6083984375;67588.1328125;57785.1953125;69750.3828125;69850.6875;95117.984375;141677.8125;130543.8984375;122678.890625;153913.921875;135639.578125;131676.859375;148476.015625
P43574;56327.61;0;0;0;0;0;0;0;0;0;0;0;0;57448.1640625;58753.78515625;25508.080078125;49483.90625
P43577;18134.89;59439.953125;63323.00390625;54582.08984375;54375.9375;76294.2578125;92199.9140625;77363.7421875;55687.00390625;519301.375;202119.765625;343864.3125;253606.65625;82178.625;115995.125;179613.265625;183320.265625
P43579;78752.78;8459.8662109375;4482.9697265625;5192.46337890625;4878.52880859375;0;0;0;0;4749.76171875;18587.1484375;25781.625;28813.568359375;49863.7421875;49002.984375;60396.16796875;46911.70703125
P43582;22655.26;215848.359375;219208.09375;203086;194295.0625;455372.59375;413670.96875;357170.625;570886.1875;1409051.125;2526547.75;2263774;2561019.5;6488455;6340799;6588322;6338740
P43583;245995.54;0;0;0;0;0;0;0;0;0;0;0;0;331825.03125;224780.3125;141681.59375;165831.984375
P43585;95440.8;18110.2109375;32256.93359375;34055.0390625;40542.60546875;0;0;0;0;14877.232421875;11743.10546875;10868.716796875;6063.85986328125;15613.6494140625;33296.80078125;31937.158203125;30350.0546875
P43586;23590.43;133059.484375;127649.09375;115191.109375;112281.1328125;63236.87109375;72555.796875;53418.5;117999.953125;270646.53125;370144.3125;343884.6875;318620.59375;2035252.375;1862647;1790288;1672368
P43587;18186.77;193691.71875;135382.15625;112134.7109375;146879.484375;375509.90625;323381.15625;386481.59375;519599.75;268580.75;619144.3125;547780.875;487996;753520.1875;724233.0625;806364.5;788691.25
P43588;34398.28;54344.3203125;52432.6875;55648.453125;63615.50390625;43285.1875;36817.45703125;42617.57421875;42157.8984375;79829.0546875;68990.53125;64706.97265625;65527.96875;261009.4375;207244.375;191779.953125;194041.8125
P43590;61753.55;40046.66015625;201754.109375;43689.37890625;94219.953125;60069.1328125;124302.1015625;116476.421875;57427.5234375;4653.8447265625;6422.4697265625;10026.4599609375;12193.6708984375;0;0;0;0
P43593;57110.76;34444.5625;45566.11328125;48864.89453125;45913.62890625;102680.140625;126253.1953125;118115.2109375;85359.1171875;544957.125;301588.90625;244435.828125;283339.75;639414.125;603444.625;634387.6875;700444.9375
P43594;18855.24;18463.494140625;15260.5400390625;21876.455078125;15780.5576171875;36878.9453125;25301.6015625;26499.0390625;35050.9296875;119604.03125;142468.90625;127499.546875;142890.671875;149552.046875;130447.453125;103563.09375;130350.6328125
P43596;90896.73;36079.35546875;27817.146484375;40327.01953125;30681.82421875;36982.4609375;39072.328125;42599.37109375;45839.83984375;150251.953125;137334.625;163327.640625;139117.546875;516411.625;625262.0625;637762.5;463773.375
P43597;137697.93;138384.921875;144261.5625;168318.796875;130526.9765625;151790.453125;118814.625;132690.828125;148356;174507.890625;218377.765625;200411.859375;201718.578125;259645.796875;256661.265625;262944.78125;318603.34375
P43598;21782.93;24547.5;21125.9921875;20863.95703125;22809.806640625;25202.296875;23125.673828125;28198.0234375;31954.658203125;68506.5625;82731.984375;83569.875;75885.3671875;309866.84375;291898.8125;272815;242123.78125
P43599;41031.22;0;0;0;0;38856.2109375;34992.34375;37599.63671875;62355.49609375;0;0;0;0;0;0;0;0
P43603;49344.11;285393.03125;285973.75;267749.21875;276641.15625;314755.71875;299784.75;277874.4375;439473.375;861816.5;1385810.375;1188774.125;1254769.5;4023427.5;3792380.25;3860520.75;3977330
P43609;63168.04;29207.109375;29932.1015625;39741.84375;31040.77734375;48610.59765625;41589.76171875;41819.11328125;50666.8359375;64110.98046875;98532.5625;97979.7890625;89299.984375;543407.5;482131.28125;431191.28125;475285.15625
P43612;115002.21;0;0;0;0;0;0;0;0;0;0;0;0;47048.734375;37047.29296875;39607.046875;40498.94921875
P43616;52871.38;1737525.125;1908677.25;1741871.375;1827142.625;2793404;3874065.75;3755724.5;1433125.5;2455413.75;673947.1875;962420;972810.125;0;0;0;0
P43620;75914.18;0;0;0;0;0;0;0;0;37073.0703125;25589.91015625;22098.203125;24870.74609375;249661.546875;220695.5625;217342.375;226856.328125
P43621;60627.73;65741.203125;59708.609375;81136.7109375;88071.578125;212511.015625;210283.109375;193128.984375;215735.75;225056.546875;250498.734375;325742.65625;281512.1875;346618.71875;316518.125;273096.0625;299786.34375
P43638;155207.45;26144.634765625;24027.47265625;22516.966796875;22744.142578125;68884.0078125;59817.08984375;54397.41015625;72375.2109375;154863.546875;233835.71875;219680.75;203458.765625;287360.09375;288694.84375;273340.90625;294341.5
P43682;10960.51;47131.9765625;36947.75390625;33707.31640625;26523.1875;0;0;0;0;7966.7724609375;13692.9384765625;25275.46875;16496.568359375;143790.5625;125031.0234375;74325.734375;61915.5546875
P45818;63652.63;13182.83203125;14473.4375;18519.576171875;13232.31640625;13108.8515625;12579.7861328125;11576.1337890625;19050.353515625;22524.630859375;27490.333984375;47355.9453125;36080.50390625;98947.328125;94809.296875;76851.8984375;100369.8515625
P45976;35776.98;80639.4609375;71569.2734375;75060.1875;70913.8359375;151727.234375;134666.21875;137013.6875;144606.921875;46537.54296875;128105.3984375;154221.953125;134449.5625;113831.7109375;87216.859375;104083.171875;98880.296875
P45978;39189.54;166753.171875;168903.09375;217146.828125;172665.234375;305954.65625;302913.3125;294378.25;482943.90625;2087068.5;2300867.25;1884910.75;1894524.75;3596347.25;3578956;3365737;3827858.5
P46151;73941.61;22460.8671875;29049.97265625;26966.51953125;29389.142578125;40293.19921875;56080.36328125;52366.80859375;14823.30078125;6372.41064453125;7271.205078125;6693.1025390625;7991.2353515625;0;0;0;0
P46367;56723.65;201065.296875;323620.53125;306737.03125;383089.875;85600.3984375;83725.4453125;81028.9609375;66816.8359375;9157.994140625;77180.7109375;107366.6484375;103648.15625;83716.875;100414.3515625;145131.8125;63903.58203125
P46654;27962.45;76315.671875;110892.53125;170833.6875;148638.328125;76353.3046875;96422.1015625;93632.296875;77711.953125;0;0;0;0;56010.14453125;45096.66015625;44313.2890625;41571.4375
P46655;80842.74;278548.25;283875.84375;333054.1875;318583.96875;492353.96875;430224.15625;417523.75;569576.4375;933171.8125;1214400.625;1133781.125;1143948;1568763.125;1421019.625;1305011.125;1318979.25
P46669;36223.95;67081.46875;76916.421875;77770.390625;73544.203125;32235.142578125;40877.484375;32256.181640625;21148.0234375;64480.09765625;127155.4609375;122272.5546875;112371.65625;174317.109375;140993.765625;134320.84375;150185.65625
P46670;30708.77;0;0;0;0;0;0;0;0;4560.72216796875;18891.005859375;13756.4189453125;20971.15625;118053.40625;111807.078125;94981.8125;103699.7421875
P46672;42084.01;321148.9375;291883.3125;329963.59375;324354.90625;388743.90625;417684.84375;359219.03125;525009.9375;1122403.625;1467174.875;1402011.375;1269936.125;4618330.5;4223883.5;3986603.5;4030097.75
P46675;100918.24;25561.07421875;46713.00390625;59744.31640625;43436.1875;112023.1875;97307.203125;83091.203125;105708.8046875;328609.8125;305030.75;251271;271778.84375;1361906;1311554.375;1277296;1286430.125
P46676;118201.12;18729.55078125;19324.986328125;17325.158203125;17768.740234375;49149.6328125;41177.10546875;39573.890625;51106.17578125;107676.9609375;186491.515625;183145.140625;163494.46875;318998.5;291774.15625;286829.03125;294664.875
P46677;120695.88;0;0;0;0;0;0;0;0;30836.974609375;21598.228515625;34478.88671875;31315.607421875;98625.71875;75913.2265625;72913;70078.609375
P46678;67687.79;0;0;0;0;29622.63671875;29083.75390625;23046.587890625;31786.052734375;60098.96875;100746.078125;113650.5390625;101496;110151.9296875;150665.546875;156706.671875;144169.5
P46680;67325.51;221265.140625;230854.9375;187451.609375;222254.484375;371622.59375;518573.5625;505487.625;169883.78125;191446.78125;149308.171875;163841.078125;202885.953125;0;0;0;0
P46682;91607.21;0;0;0;0;36964.18359375;23837.44921875;8761.322265625;29251.6015625;74595.75;192817.34375;186689.5;237940.109375;73258.796875;71574.5859375;76597.15625;76555.46875
P46683;22355.53;328994.03125;341228.375;417370.71875;300959.59375;647875.125;587076.375;618809.375;664287.9375;1797484.125;1502687.125;1435296.25;1461340.5;477217.375;497401.125;535922.25;529452.75
P46947;30472.04;15825.97265625;17115.4296875;20553.439453125;10641.541015625;39139.9375;29298.916015625;32239.1484375;51479.421875;136468.671875;200448;175963.9375;174828.71875;355094.25;303926.34375;323221.125;340639.78125
P46949;90797.71;59425.07421875;58878.69140625;69208.328125;61234.32421875;179582.59375;165585.609375;174320.1875;187052.0625;285918.0625;357409.71875;378399.59375;313789.84375;360791.78125;375578.0625;375166.65625;383347.25
P46955;35412.47;0;0;0;0;8594.1123046875;6877.4013671875;7984.54052734375;7080.82958984375;5162.66259765625;10877.892578125;13251.0048828125;10424.173828125;0;0;0;0
P46958;53216.43;0;0;0;0;0;0;0;0;0;0;0;0;2982.11352539063;47954.21875;44409.109375;37505.609375
P46964;14697.58;8378.36328125;14424.2998046875;13764.17578125;18352.2265625;0;0;0;0;0;0;0;0;0;0;0;0
P46965;10818.84;50176.71875;45980.32421875;37162.23046875;45735.4453125;0;0;0;0;0;0;0;0;0;0;0;0
P46969;25967.09;67296.546875;70559.6484375;66181.71875;62970.0078125;193525.921875;237423.59375;214665.875;156038.515625;725258.0625;281802.03125;434793.65625;400804.34375;2975.28759765625;25747.212890625;32199.892578125;41153.15625
P46973;18376.13;0;0;0;0;0;0;0;0;30950.29296875;17172.001953125;11146.89453125;17140.880859375;60823.6015625;54077.5390625;43317.671875;50282.2265625
P46984;13605.02;84442.59375;85100.8359375;82789.9375;80227.4765625;197435.140625;190895.9375;180577.0625;203161.078125;425776.15625;488603.3125;547288.375;485986.59375;238812.96875;292294.53125;324676.53125;266514.3125
P46988;12781.71;206809.890625;215443.53125;199206.953125;177881.53125;242465.453125;186938.75;219354.921875;267049.8125;371316.78125;482604.3125;387465.34375;445548.59375;395377.09375;363391.15625;388165.09375;362218
P46989;30201.28;40680.703125;39536.8046875;41497.32421875;16162.4296875;0;0;0;0;0;0;0;0;0;0;0;0
P46990;20551.42;1518002.125;1660879.5;1083099;1221294.125;0;0;0;0;0;0;0;0;0;0;0;0
P46992;42957.77;203101.53125;188667.515625;175671.421875;154385.90625;30810.29296875;26310.99609375;36818.06640625;39340.4921875;0;0;0;0;0;0;0;0
P46995;84461.45;0;0;0;0;0;0;0;0;28963.86328125;31881.81640625;24533.4609375;29953.79296875;81304.4375;61790.70703125;51960.078125;72518.890625
P47001;23241.56;104609.7265625;113737.8671875;106518.375;106737.4140625;844166.375;806724.125;841982.6875;813572.25;309770.59375;1194475.875;1944083.5;1513086.75;61530.2421875;82231.09375;130850.1015625;133440.640625
P47006;26875.36;119560.9296875;119478.40625;139623.9375;98150.015625;128694.21875;108030.46875;103983.8359375;179605.75;549540.75;636405.5625;564547.75;552514.8125;1828141.25;1632719.25;1488223;1488426.75
P47008;34388.32;32050.216796875;33890.375;34983.59765625;29388.037109375;36946.55859375;32825.35546875;36992.80859375;27112.923828125;200995.328125;86951.8359375;59079.38671875;63633.08203125;126413.328125;112386.359375;86358.09375;77963.9609375
P47017;20306.94;9842.4892578125;13888.576171875;14421.826171875;16036.685546875;13710.7529296875;12231.8154296875;11459.69140625;11773.8349609375;120514.25;30325.001953125;26658.93359375;33255.515625;67618.0546875;63469.64453125;58488.578125;59614.05078125
P47018;53477.36;248816.75;230633.34375;285917.96875;192831.90625;50722.82421875;49838.609375;52506.05078125;54255.5703125;156968.546875;144498.28125;143023.859375;128189.0703125;596207.75;580483;576985.5625;628127.25
P47019;19286.98;138226.53125;136785;134323.09375;124104.828125;22712.1171875;21655.51953125;20426.681640625;30774.849609375;31867.580078125;51898.8984375;49793.70703125;53077.265625;262710.5625;216385.078125;184784.09375;186419.296875
P47025;80032.2;0;0;0;0;0;0;0;0;0;0;0;0;51225.5078125;77718.28125;58374.28515625;64542.96484375
P47029;117216.22;0;0;0;0;0;0;0;0;31575.142578125;48780.1171875;39694.1328125;55995.39453125;30914.5390625;27462.466796875;27872.794921875;24570.365234375
P47032;30634.25;40030.02734375;44309.34375;41968.15625;36311.9140625;262510.34375;251927.15625;238376.078125;240758.859375;337517.3125;687228.9375;779998.0625;705983.375;245722.109375;334740.8125;456634.9375;405516.03125
P47033;89152.53;9800.2841796875;14686.3056640625;13662.3095703125;6078.1279296875;138870.40625;138617.828125;139283.71875;140930.734375;75806.6484375;92297.0546875;105123.984375;92699.703125;0;0;0;0
P47035;128530.92;170564.375;163056.4375;177745.078125;171476.015625;344778.3125;334680.25;330254.25;404033.53125;782777.25;1177120.625;1272933.375;1109275.125;1401727.875;1377942.5;1383112;1439730.375
P47037;141336.23;0;0;0;0;44247.40625;38129.4609375;48313.24609375;42089.3125;1596.66674804688;44064.4609375;54823.9296875;59643.1953125;0;0;0;0
P47041;60840.95;0;0;0;0;0;0;0;0;0;0;0;0;32844.41796875;39187.17578125;37759.34375;32204.134765625
P47042;75327.29;0;0;0;0;0;0;0;0;0;0;0;0;118827.1640625;94453.65625;83967.3828125;79985.1875
P47044;26864.43;356868.625;305329.0625;306550.375;283019.75;818487.6875;703826.5625;670977.5625;867689.3125;477089.09375;422638.5625;595095.4375;549836.125;54266.60546875;50841.921875;32953.68359375;49075.1953125
P47047;122054.99;14734.5751953125;17958.2421875;24092.63671875;17485.294921875;12281.7685546875;11366.69140625;13439.74609375;18259.49609375;135764.40625;167137.3125;114486.46875;120296.1015625;210071.65625;236471.796875;243549.953125;357069.9375
P47048;52849.4;5848.283203125;6812.375;7984.880859375;6339.9892578125;11010.3056640625;9971.4599609375;11235.8505859375;11622.359375;43131.8984375;68844.796875;61188.63671875;61611.54296875;118667.25;183160.640625;160273.9375;178648.875
P47068;128296.54;287063.34375;272790.96875;276166;255254.75;1239034.75;1103121.25;1128048.125;1210592.875;919508.375;1284404.375;1363424.625;1154812.5;1344730.75;1405380.25;1400179.375;1481052.625
P47075;83154.78;27727.005859375;36799.6328125;52145.47265625;77073.296875;0;0;0;0;0;0;0;0;0;0;0;0
P47076;18596.11;13288.0146484375;16731.166015625;17441.595703125;14035.775390625;30169.552734375;23168.078125;21052.8046875;31618.435546875;24172.251953125;53652.7890625;40990;43300.18359375;35842.5703125;37695.84765625;34899.15625;38782.46875
P47077;77722.15;0;0;0;0;0;0;0;0;17310.658203125;15942.044921875;11073.767578125;9550.0302734375;20306.859375;7095.16748046875;11885.6572265625;16661.8828125
P47079;61662.28;40195.23828125;43708.84375;49898.9140625;55808.19140625;22539.046875;19282.353515625;19493.724609375;24637.298828125;52714.0859375;53936.51171875;50240.6484375;57390.515625;371891.46875;327167;262288.65625;231109.359375
P47082;65346.08;34525.1796875;32402.90234375;33810.28515625;27015.408203125;22639.521484375;20785.8828125;13771.853515625;37854.7734375;24882.466796875;32409.37109375;45759.140625;40425.4453125;401529.34375;362949.8125;294991.25;304390.96875
P47083;66952.57;44496.9375;46995.32421875;46393.8515625;39376.4453125;59130.12890625;47952.41796875;55645.19921875;65795.8359375;110918.96875;174329.328125;149056.828125;163881.28125;640987.3125;538878.9375;506803.90625;527271.5625
P47087;23189.95;18846.38671875;16687.775390625;19612.58984375;21152.2265625;90813.46875;70396.5546875;74496.015625;80049.6953125;31298.072265625;73394.2578125;82617.375;72732.6796875;0;0;0;0
P47089;22495;26459.478515625;23943.1328125;28933.216796875;22484.2265625;86801.5078125;73222.3828125;73423.109375;112160.1171875;303017.875;325728.3125;308152.625;333103.375;1035675.3125;941460.0625;823765.375;885555.625
P47093;12385.38;0;0;0;0;0;0;0;0;0;0;0;0;116074.1484375;125665.890625;119686.9921875;115883.6328125
P47095;27426.84;94175.015625;144309.140625;136677.234375;145060.3125;34983.60546875;26545.216796875;19548.916015625;28099.474609375;149072.21875;198503.5;171032.859375;180857.078125;780138.5625;619797.0625;643901.4375;697932.0625
P47096;20234.97;314092.1875;299660.375;274716.9375;309393.875;932112.75;927987.4375;772964.5;1034139.875;1534750.25;1456346.125;1703613;1643777.375;59061.8203125;108477.4921875;180677.84375;166991.46875
P47103;45133.82;18677.572265625;19437.662109375;19489.958984375;22598.6484375;32926.20703125;53394.875;52729.390625;15710.607421875;133630.25;30887.69140625;49528.3046875;56481.515625;0;0;0;0
P47104;154933.02;11428.685546875;11066.6142578125;10954.0966796875;8283.037109375;7967.23388671875;4799.9970703125;7360.9462890625;12282.015625;43510.8671875;46174.19921875;39152.04296875;38144.37890625;134819.828125;109188.2890625;108760.953125;132137.453125
P47110;40309.65;0;0;0;0;24076.544921875;26777.3125;22807.521484375;29176.396484375;29482.833984375;53584.75390625;53293.59375;57439.91015625;147093.46875;142307.203125;153481.734375;151076.921875
P47116;91400.38;33496.0703125;33713.24609375;35778.1875;32192.79296875;96760.7890625;101806.8828125;97518.8984375;136534.1875;303002.6875;538424.8125;548438.3125;421438.28125;773452;764677.6875;685419.375;766669.4375
P47117;49541.75;54369.66796875;72932.625;80757.5703125;77797.1796875;8632.732421875;14290.81640625;19479.841796875;13794.8349609375;27247.099609375;38179.55078125;41389.640625;41419.58203125;250453.234375;244668.140625;212137.34375;176603.5625
P47118;16076.05;0;0;0;0;61447.90234375;55255.62109375;49940.8046875;55352.46875;94045.6328125;75297.2421875;61923.20703125;85233.28125;64565.80859375;81585.7109375;90824.8515625;76957.7578125
P47119;22093.02;237721.171875;273471.90625;278422.3125;218225.203125;959712.6875;1009449.1875;803308.75;831393.6875;2752815;1765446.375;2385057.75;2141664.75;321221.6875;581087.625;851544.1875;850741.4375
P47120;36164.81;1074472.75;1136111.625;1249830.25;1025969.3125;2998833;2800415.25;2839608.25;3069428.75;5211626.5;3565896.75;4513275.5;4405289;538180.375;577608.875;600176.25;657891.8125
P47122;43194.69;42802.734375;42553.08984375;50988.859375;51911.93359375;51427.75;50940.1171875;53565.51171875;64360.80859375;149292.609375;195027.046875;175995.09375;169741.359375;323965.3125;379259.84375;377185.9375;344180.46875
P47128;12894.69;16638.693359375;11956.8720703125;18730.390625;14324.7080078125;25822.9296875;17792.177734375;21536.501953125;24468.728515625;73693.5;60495.828125;54080.8125;59144.93359375;83522.375;88655.40625;71778.8203125;79371.796875
P47129;35520.68;16099.66796875;15681.74609375;16833.005859375;15589.224609375;45483.6015625;49940.6796875;43030.734375;67849.5234375;151682.78125;254316.34375;238969.46875;216477.953125;569630.3125;506665.09375;501997.6875;533879.75
P47134;108667.24;7915.38232421875;3483.3828125;12360.822265625;10842.40625;49943.54296875;44907.1953125;35905.13671875;44597.04296875;21138.673828125;63331.13671875;72660.1640625;55484.65234375;72373.6484375;90451.1015625;77397.96875;82124.609375
P47135;120374.36;22948.3515625;17580.6328125;17037.630859375;16247.9091796875;41656.3203125;37563.9453125;36950.08984375;47112.78125;103470.515625;172224.890625;149928.3125;147490.375;290758.28125;267075.125;270677.25;257846.765625
P47136;164486.24;8196.755859375;6690.8271484375;7313.0458984375;8273.77734375;24791.01171875;21537.857421875;22988.529296875;27003.3515625;29531.177734375;49221.18359375;48378.6484375;45759.5234375;15162.3974609375;9235.859375;10521.66015625;16718.6484375
P47137;32344.08;0;0;0;0;0;0;0;0;557355;55634.97265625;66563.9296875;74976.59375;0;0;0;0
P47138;20027.4;0;0;0;0;0;0;0;0;99510.6328125;40665.0546875;55288.265625;59885.0078125;12677.0400390625;22488.625;32378.01171875;22854.6171875
P47143;36372.33;333142.65625;372798.1875;359786.46875;402385.5;849327.8125;1102076;956412.9375;589843.0625;3257654.25;1755620.5;2269211.25;2134471.5;79397.71875;161633.703125;205500.515625;265279.53125
P47154;52324.12;0;0;0;0;0;0;0;0;0;0;0;0;287262.09375;209313.953125;146133.71875;137993.15625
