Entry,Gene names,Protein names
P54074,ASI1 YMR119W YM8564.01 YM9718.18,Protein ASI1 (Amino acid sensor-independent protein 1)
P35193,ATG19 CVT19 YOL082W O0980 YOL01,Autophagy-related protein 19 (Cytoplasm-to-vacuole targeting protein 19)
Q06671,ATG23 CVT23 YLR431C,Autophagy-related protein 23 (Cytoplasm to vacuole targeting protein 23)
Q12092,ATG29 YPL166W P2540,Autophagy-related protein 29
P53855,ATG2 APG2 AUT8 SPO72 YNL242W N1106,Autophagy-related protein 2 (Sporulation-specific protein 72)
Q12292,ATG34 ATG19-B YOL083W O0957,Autophagy-related protein 34
P18634,ART10 YLR392C L8084.13,Arrestin-related trafficking adapter 10
Q05123,ARP9 SWP59 YMR033W YM9973.07,Actin-like protein ARP9 (Chromatin structure-remodeling complex protein ARP9) (SWI/SNF complex component ARP9)
P40518,ARC15 YIL062C,Actin-related protein 2/3 complex subunit 5 (Arp2/3 complex 16 kDa subunit) (p16-ARC)
P61829,OLI1 ATP9 OLI3 PHO2 Q0130,"ATP synthase subunit 9, mitochondrial (Lipid-binding protein) (Oligomycin resistance protein 1)"
P38323,MCX1 YBR227C YBR1524,"ATP-dependent clpX-like chaperone, mitochondrial (mtClpX) (ATP-dependent unfoldase ClpX)"
Q3E7B2,COA3 COX25 RRG10 YJL062W-A,"Cytochrome c oxidase assembly factor 3, mitochondrial (Cytochrome c oxidase protein 25) (Required for respiratory growth protein 10)"
P43132,BRE2 CPS60 YLR015W,COMPASS component BRE2 (Brefeldin-A sensitivity protein 2) (Complex proteins associated with SET1 protein BRE2) (Set1C component BRE2)
P53727,BUD17 YNR027W N3250,Putative pyridoxal kinase BUD17 (EC 2.7.1.35) (Bud site selection protein 17)
P38356,BSD2 YBR290W YBR2037,Metal homeostatis protein BSD2 (Bypass SOD defects protein 2)
P47176,BAT2 TWT2 YJR148W J2209,"Branched-chain-amino-acid aminotransferase, cytosolic (BCAT) (EC 2.6.1.42) (Protein TWT2)"
Q12128,BAG7 YOR134W O3320 YOR3320W,Rho-GTPase-activating protein BAG7
P48237,CCM1 DMR1 RRG2 YGR150C G6642,Mitochondrial group I intron splicing factor CCM1 (COB and COX1 mRNA maturation protein 1) (Required for respiratory growth protein 2)
Q06680,YCG1 YCS5 YDR325W,Condensin complex subunit 3 (CAPG homolog)
P47001,CIS3 CCW11 CCW5 PIR4 SCW8 YJL158C J0561,Cell wall mannoprotein CIS3 (Covalently-linked cell wall protein 5/11) (Protein with internal repeats 4) (Soluble cell wall protein 8)
P32344,QRI5 COX24 YLR204W,Mitochondrial mRNA-processing protein COX24 (Mitochondrial small ribosomal subunit protein mS38)
Q04689,AIM32 YML050W YM9827.02,Altered inheritance of mitochondria protein 32
P43548,AGP3 YFL055W,General amino acid permease AGP3
P53730,ALG12 ECM39 YNR030W N3265,"Dol-P-Man:Man(7)GlcNAc(2)-PP-Dol alpha-1,6-mannosyltransferase (EC 2.4.1.260) (Asparagine-linked glycosylation protein 12) (Dolichyl-P-Man:Man(7)GlcNAc(2)-PP-dolichyl-alpha-1,6-mannosyltransferase) (Extracellular mutant protein 39) (Mannosyltransferase ALG12)"
P32449,ARO4 YBR249C YBR1701,"Phospho-2-dehydro-3-deoxyheptonate aldolase, tyrosine-inhibited (EC 2.5.1.54) (3-deoxy-D-arabino-heptulosonate 7-phosphate synthase) (DAHP synthase) (Phospho-2-keto-3-deoxyheptonate aldolase)"
P38840,ARO9 YHR137W,Aromatic amino acid aminotransferase 2 (EC 2.6.1.57) (Aromatic amino acid aminotransferase II) (Aromatic amino acid-requiring protein 9) (Kynurenine aminotransferase I) (KAT I) (EC 2.6.1.7)
Q02887,ATG21 CVT21 HSV1 MAI1 YPL100W,Autophagy-related protein 21 (Cytoplasm to vacuole transport protein 21) (Homologous with SVP1 protein 1) (Maturation of proaminopeptidase I protein 1)
Q06321,ATG26 UGT51 YLR189C,Sterol 3-beta-glucosyltransferase (EC 2.4.1.173) (Autophagy-related protein 26) (UDP-glycosyltransferase 51)
P80428,ARP4 ACT3 YJL081C J1012,Actin-related protein 4 (Actin-like protein ARP4) (Actin-like protein 4)
P00856,ATP8 AAP1 Q0080,ATP synthase protein 8 (A6L) (ATP-associated protein 1) (F-ATPase subunit 8)
Q05583,CIA1 YDR267C,Cytosolic iron-sulfur protein assembly protein 1
P48562,CLA4 YNL298W N0450,Serine/threonine-protein kinase CLA4 (EC 2.7.11.1)
Q3E846,COA6 YMR244C-A,Cytochrome c oxidase assembly factor 6
Q06405,ATP17 YDR377W D9481.21,"ATP synthase subunit f, mitochondrial"
P38360,PCA1 CAD2 PAY2 YBR295W YBR2112,P-type cation-transporting ATPase (EC 7.2.2.21) (Cadmium resistance protein 2) (Cadmium-translocating P-type ATPase) (Cd(2+)-exporting ATPase)
P38636,ATX1 YNL259C N0840,Metal homeostasis factor ATX1
Q12691,ENA5 YDR038C YD9673.10c,Sodium transport ATPase 5 (EC 7.2.2.3)
P33314,BUD2 CLA2 ERC25 YKL092C YKL424,Inhibitory regulator protein BUD2/CLA2 (Bud site selection protein 2)
P25627,BUD23 YCR047C YCR47C,18S rRNA (guanine(1575)-N(7))-methyltransferase (EC 2.1.1.309) (Bud site selection protein 23)
P53082,BOL2 AIM15 FRA2 YGL220W,BolA-like protein 2 (Altered inheritance rate of mitochondria protein 15) (Fe repressor of activation 2)
P39969,BOI2 BEB1 YER114C,Protein BOI2 (Protein BEB1)
Q06150,BOP2 YLR267W,Protein BOP2 (Bypass of PAM1 protein 2)
Q08965,BMS1 YPL217C,Ribosome biogenesis protein BMS1
P80235,YAT1 YAR035W,Putative mitochondrial carnitine O-acetyltransferase (EC 2.3.1.7)
Q06549,CDD1 YLR245C L9672.13,Cytidine deaminase (CDA) (EC 3.5.4.5) (Cytidine aminohydrolase)
P39525,CEM1 YER061C,3-oxoacyl-[acyl-carrier-protein] synthase homolog (EC 2.3.1.41) (Beta-ketoacyl-ACP synthase homolog)
D6W196,SAL1 YNL083W N2312,Truncated non-functional calcium-binding mitochondrial carrier SAL1-1 (Suppressor of AAC2 lethality)
P22137,CHC1 YGL206C,Clathrin heavy chain
P25612,AAD3 YCR107W,Putative aryl-alcohol dehydrogenase AAD3 (EC 1.1.1.-)
P36117,ALY1 ART6 YKR021W,Arrestin-related trafficking adapter 6 (Arrestin-like protein 1)
Q08269,ALR1 YOL130W,Magnesium transporter ALR1 (Aluminum resistance protein 1)
P14540,FBA1 YKL060C YKL320,"Fructose-bisphosphate aldolase (FBP aldolase) (FBPA) (EC 4.1.2.13) (Fructose-1,6-bisphosphate aldolase)"
P43549,AQY3 YFL054C,Aquaglycerol porin AQY3 (Aquaporin-3)
P15274,AMD1 AMD YML035C,AMP deaminase (EC 3.5.4.6) (Myoadenylate deaminase)
Q03687,ANY1 CFS1 YMR010W YM8270.13,Scramblase ANY1 (Antagonizes NEO1 phospholipid flippase protein 1) (CDC50 suppressor 1)
P53895,ASI2 YNL159C N1735,Protein ASI2 (Amino acid sensor-independent protein 2)
Q12675,DNF2 YDR093W YD8557.01,Phospholipid-transporting ATPase DNF2 (EC 7.6.2.1) (Flippase DNF2)
Q04052,ARO80 YDR421W D9461.10,Transcriptional activator ARO80
P53244,ART5 YGR068C,Arrestin-related trafficking adapter 5
P47117,ARP3 ACT4 YJR065C J1760,Actin-related protein 3 (Actin-like protein ARP3) (Actin-like protein 3)
P35183,AST1 YBL069W YBL06.04 YBL0617,Protein AST1
P39945,AST2 YER101C,Protein AST2
P38731,ARN1 YHL040C,Siderophore iron transporter ARN1 (Ferrichrome permease)
Q12406,ARP7 SWP61 YPR034W YP9367.14,Actin-related protein 7 (Actin-like protein ARP7) (Chromatin structure-remodeling complex protein ARP7) (SWI/SNF complex component ARP7)
P31386,ATS1 KTI13 YAL020C FUN28 YAL006,Protein KTI13 (Alpha-tubulin suppressor 1) (Kluyveromyces lactis toxin-insensitive protein 13)
P33313,CNS1 YBR155W YBR1205,Hsp70/Hsp90 co-chaperone CNS1 (Cyclophilin seven suppressor 1) (STI1 stress-inducible protein homolog)
P30902,ATP7 YKL016C,"ATP synthase subunit d, mitochondrial"
P50944,AVT4 YNL101W N2185,Vacuolar amino acid transporter 4
P40452,COA1 FMP35 YIL157C,Cytochrome c oxidase assembly factor 1
P38176,AVT5 YBL089W YBL0703,Vacuolar amino acid transporter 5
Q12500,AVL9 YLR114C L2941,Late secretory pathway protein AVL9 (APL2 VPS1 synthetic lethal protein 9)
Q08754,BUD7 YOR299W,Bud site selection protein 7
P38346,BIT2 YBR270C YBR1738,Probable target of rapamycin complex 2 subunit BIT2 (TORC2 subunit BIT2) (Binding partner of TOR2 protein 2)
Q06071,BLS1 YLR408C,Biogenesis of lysosome-related organelles complex 1 subunit BLS1 (BLOC-1 subunit BLS1) (BLOS1-homolog)
P03965,CPA2 YJR109C J2002,"Carbamoyl-phosphate synthase arginine-specific large chain (EC 6.3.5.5) (Arginine-specific carbamoyl-phosphate synthetase, ammonia chain)"
P38910,HSP10 CPN10 YOR020C OR26.10,"10 kDa heat shock protein, mitochondrial (HSP10) (10 kDa chaperonin)"
P36064,CMC1 YKL137W,COX assembly mitochondrial protein (COX biogenesis factor CMC1) (Cx9C mitochondrial COX assembly protein 1) (Mitochondrial metallochaperone-like protein CMC1)
Q02486,ABF2 HIM1 YMR072W YM9916.11,"ARS-binding factor 2, mitochondrial"
P52893,ALT1 YLR089C L9449.15,"Probable alanine aminotransferase, mitochondrial (EC 2.6.1.2) (Glutamate pyruvate transaminase) (GPT) (Glutamic--alanine transaminase) (Glutamic--pyruvic transaminase)"
P87275,AIM11 GEP8 YER093C-A,Altered inheritance of mitochondria protein 11 (Genetic interactor of prohibitins 8)
Q05955,ADY4 YLR227C L8083.11,Accumulates dyads protein 4
P40467,ASG1 YIL130W,Activator of stress genes 1
P38724,ARN2 TAF1 YHL047C,Siderophore iron transporter ARN2 (Triacetylfusarinine C permease) (Triacetylfusarinine C transporter 1)
P32450,AUA1 YFL010W-A YFL010BW,Ammonia regulation of amino acid uptake protein
P00830,ATP2 YJR121W J2041,"ATP synthase subunit beta, mitochondrial (EC 7.1.2.2)"
P13090,ATR1 SNQ1 YML116W YM8339.03,Aminotriazole resistance protein
P40471,AYR1 GBG1 YIL124W,NADPH-dependent 1-acyldihydroxyacetone phosphate reductase (ADR) (EC 1.1.1.101) (1-acyl DHAP reductase) (Acyl/alkyl DHAP reductase) (Acylglycerone-phosphate reductase) (Triacylglycerol lipase AYR1) (TAG lipase) (EC 3.1.1.3)
P48016,ATH1 YPR026W YP9367.06,"Periplasmic acid trehalase ATH1 (EC 3.2.1.28) (Alpha,alpha-trehalase) (Alpha,alpha-trehalose glucohydrolase)"
P18496,ATP10 YLR393W L8084.8,Mitochondrial ATPase complex subunit ATP10
P40013,BIM1 YER016W,Protein BIM1
Q12365,BBP1 YPL255W P0745,Spindle pole component BBP1 (BFR1-binding protein 1)
Q07660,BRE4 YDL231C,Protein BRE4 (Brefeldin A-sensitivity protein 4)
P38084,BAP2 YBR068C YBR0629,Leu/Val/Ile amino-acid permease (Branched-chain amino-acid permease 2)
P38813,BIG1 YHR101C,Protein BIG1 (Bad in glucose protein 1)
P50077,CCH1 YGR217W G8501,Calcium-channel protein CCH1
Q01649,CIK1 YMR198W YM9646.11,Spindle pole body-associated protein CIK1 (Chromosome instability and karyogamy protein 1)
P14284,REV3 PSO1 YPL167C P2535,DNA polymerase zeta catalytic subunit (EC 2.7.7.7) (Protein reversionless 3)
P15790,CKA1 YIL035C,Casein kinase II subunit alpha (CK II subunit alpha) (EC 2.7.11.1)
P25574,EMC1 YCL045C YCL315 YCL45C,ER membrane protein complex subunit 1
Q12431,EMC6 YLL014W L1321,ER membrane protein complex subunit 6
P32799,COX13 YGL191W G1341,"Cytochrome c oxidase subunit 13, mitochondrial (Cytochrome c oxidase polypeptide VIa)"
P00045,CYC7 CYP3 YEL039C,Cytochrome c isoform 2 (Iso-2-cytochrome c) (Cytochrome c hypoxic isoform)
Q03375,CWC21 YDR482C,Pre-mRNA-splicing factor CWC21 (Complexed with CEF1 protein 21)
Q12089,AEP3 YPL005W YP8132.08,ATPase expression protein 3
Q08951,APL5 YKS4 YPL195W,AP-3 complex subunit delta (Adaptor-related protein complex 3 subunit delta) (Delta-adaptin 3) (Delta-adaptin)
P46682,APL6 YKS5 YGR261C G9331,AP-3 complex subunit beta (Adaptor-related protein complex 3 subunit beta) (Beta-3-adaptin) (Clathrin assembly protein complex 3 beta large chain) (Clathrin assembly protein large beta chain)
P40527,NEO1 YIL048W,Probable phospholipid-transporting ATPase NEO1 (EC 7.6.2.1)
P53332,CAB4 YGR277C,Phosphopantetheine adenylyltransferase (PPAT) (EC 2.7.7.3) (Coenzyme A biosynthesis protein 4) (Dephospho-CoA pyrophosphorylase) (Pantetheine-phosphate adenylyltransferase)
P35206,CSG2 CLS2 YBR036C YBR0404,Mannosyl phosphorylinositol ceramide synthase regulatory protein CSG2
P19454,CKA2 YOR061W YOR29-12,Casein kinase II subunit alpha' (CK II) (EC 2.7.11.1)
P21306,ATP15 YPL271W P0345,"ATP synthase subunit epsilon, mitochondrial (ATPase subunit epsilon)"
P22035,BAS1 YKR099W,Myb-like DNA-binding protein BAS1
P50277,BIO3 YNR058W N3510,"Adenosylmethionine-8-amino-7-oxononanoate aminotransferase (EC 2.6.1.62) (7,8-diamino-pelargonic acid aminotransferase) (DAPA AT) (DAPA aminotransferase) (Diaminopelargonic acid synthase)"
P24870,CLB3 YDL155W D1539,G2/mitotic-specific cyclin-3
P27697,COQ8 ABC1 YGL119W,"Atypical kinase COQ8, mitochondrial (EC 2.7.-.-) (Activity of bc1 complex protein 1) (Coenzyme Q protein 8) (Ubiquinone biosynthesis protein COQ8)"
P53301,CRH1 YGR189C G7553,Probable glycosidase CRH1 (EC 3.2.-.-) (Congo red hypersensitive protein 1)
P38113,ADH5 YBR145W YBR1122,Alcohol dehydrogenase 5 (EC 1.1.1.1) (Alcohol dehydrogenase V)
Q12032,AIM41 YOR215C YOR50-5,"Altered inheritance of mitochondria protein 41, mitochondrial"
P38971,ALP1 YNL270C N0660,Basic amino-acid permease
P38266,AIM3 YBR108W YBR0901,Altered inheritance of mitochondria protein 3
P53943,AQR1 YNL065W N2417 YNL2417W,Probable transporter AQR1
P38179,ALG3 RHK1 YBL082C YBL0720,"Dol-P-Man:Man(5)GlcNAc(2)-PP-Dol alpha-1,3-mannosyltransferase (EC 2.4.1.258) (Asparagine-linked glycosylation protein 3) (Dol-P-Man-dependent alpha(1-3)-mannosyltransferase) (Dolichyl-P-Man:Man(5)GlcNAc(2)-PP-dolichyl mannosyltransferase) (Dolichyl-phosphate-mannose--glycolipid alpha-mannosyltransferase) (HM-1 killer toxin resistance protein)"
Q04212,ARA2 YMR041C YM9532.06C,D-arabinose 1-dehydrogenase (EC 1.1.1.116) (NAD(+)-specific D-arabinose dehydrogenase)
Q06497,ANT1 YPR128C,Peroxisomal adenine nucleotide transporter 1
P0CX77,ASP3-2 YLR157C L9632.7,L-asparaginase 2-2 (EC 3.5.1.1) (L-asparaginase II) (L-asparagine amidohydrolase II) (ASP II)
Q06834,ASR1 YPR093C,Alcohol-sensitive RING finger protein 1
P16639,ATE1 YGL017W,Arginyl-tRNA--protein transferase 1 (Arginyltransferase 1) (R-transferase 1) (EC 2.3.2.8) (Arginine-tRNA--protein transferase 1)
P40353,ATF1 YOR377W,Alcohol O-acetyltransferase 1 (AATase 1) (EC 2.3.1.84) (EC 3.1.2.20)
P38182,ATG8 APG8 AUT7 CVT5 YBL078C YBL0732,Autophagy-related protein 8 (Autophagy-related ubiquitin-like modifier ATG8) (Cytoplasm to vacuole targeting protein 5)
Q05789,ATG38 YLR211C L8167.20,Autophagy-related protein 38
P22768,ARG1 YOL058W O1228,Argininosuccinate synthase (EC 6.3.4.5) (Citrulline--aspartate ligase)
Q12509,ARP6 YLR085C L2393 L9449.13,Actin-like protein ARP6
P33204,ARC19 YKL013C YKL166,Actin-related protein 2/3 complex subunit 4 (Arp2/3 complex 20 kDa) (p20-ARC)
P38995,CCC2 YDR270W D9954.6,Copper-transporting ATPase (EC 7.2.2.8) (Cu(2+)-ATPase)
Q12067,ATX2 YOR079C YOR29-30,Metal homeostasis factor ATX2
P00854,ATP6 OLI2 OLI4 PHO1 Q0085,ATP synthase subunit a (F-ATPase protein 6)
P39981,AVT2 YEL064C,Vacuolar amino acid transporter 2
P17891,CLC1 YGR167W,Clathrin light chain (CLC)
P41696,AZF1 YOR113W O3244 YOR3244W,Asparagine-rich zinc finger protein AZF1
P53744,BIO5 YNR056C N3502,7-keto 8-aminopelargonic acid transporter (KAPA transporter)
P47068,BBC1 MTI1 YJL020C J1286 J1305 YJL021C,Myosin tail region-interacting protein MTI1 (Protein BBC1)
P39011,BEM4 YPL161C P2561,Bud emergence protein 4
P29366,BEM1 SRO1 YBR200W YBR1412,Bud emergence protein 1 (Suppressor of RHO3 protein 1)
P48445,BPL1 ACC2 YDL141W D2140,Biotin--protein ligase (EC 6.3.4.-) (Biotin apo-protein ligase) [Includes: Biotin--[methylmalonyl-CoA-carboxytransferase] ligase (EC 6.3.4.9); Biotin--[propionyl-CoA-carboxylase [ATP-hydrolyzing]] ligase (EC 6.3.4.10) (Holocarboxylase synthetase) (HCS); Biotin--[methylcrotonoyl-CoA-carboxylase] ligase (EC 6.3.4.11); Biotin--[acetyl-CoA-carboxylase] ligase (EC 6.3.4.15)]
Q12291,BMT6 YLR063W L2174,25S rRNA (uridine(2843)-N(3))-methyltransferase (EC 2.1.1.312) (Base methyltransferase of 25S RNA 6)
P00425,COX5B YIL111W,"Cytochrome c oxidase subunit 5B, mitochondrial (Cytochrome c oxidase polypeptide Vb)"
Q03771,ACL4 YDR161W,Assembly chaperone of RPL4
P12904,SNF4 CAT3 SCI1 YGL115W,5'-AMP-activated protein kinase subunit gamma (AMPK gamma) (AMPK subunit gamma) (Regulatory protein CAT3) (Sucrose non-fermenting protein 4)
P21192,ACE2 YLR131C L3123 L9606.10,Metallothionein expression activator
Q08902,AMF1 YOR378W,Low affinity ammonium transporter (Ammonium facilitator 1)
Q08223,AIM39 YOL053W O1269,"Altered inheritance of mitochondria protein 39, mitochondrial"
P10127,ADH4 ZRG5 YGL256W NRC465,Alcohol dehydrogenase 4 (EC 1.1.1.1) (Alcohol dehydrogenase IV) (ADHIV)
P24813,CAD1 YAP2 YDR423C D9461.12,AP-1-like transcription factor YAP2 (Cadmium resistance protein 1) (Transcription factor CAD1)
Q06598,ARR3 ACR3 YPR201W P9677.2,Arsenical-resistance protein 3 (Arsenic compounds resistance protein 3) (As(III)/H(+) and Sb(III)/H(+)antiporter)
P40969,CEP3 CBF3 CBF3B CSL1 YMR168C YM8520.17C,Centromere DNA-binding protein complex CBF3 subunit B (Centromere protein 3)
P53188,CGR1 YGL029W,rRNA-processing protein CGR1 (Coiled-coil growth-regulated protein 1)
P13365,CLN3 DAF1 WHI1 YAL040C FUN10,G1/S-specific cyclin CLN3
P22516,CHL1 CTF1 YPL008W YP8132.05,ATP-dependent DNA helicase CHL1 (EC 3.6.4.12) (Chromosome loss protein 1) (Chromosome transmission fidelity protein 1)
Q12453,CEX1 YOR112W O3240 YOR3240w,Cytoplasmic export protein 1
P04821,CDC25 CTN1 YLR310C L2142.6,Cell division control protein 25
P38170,BRN1 YBL097W YBL0830,Condensin complex subunit 2 (Barren homolog) (CAPH homolog)
Q05521,DPP1 ZRG1 YDR284C,Diacylglycerol pyrophosphate phosphatase 1 (DGPP phosphatase) (EC 3.1.3.81) (Phosphatidate phosphatase) (EC 3.1.3.4)
P39112,DSS1 MSU1 YMR287C YM8021.13C,"Exoribonuclease II, mitochondrial (RNase II) (Ribonuclease II) (EC 3.1.13.1) (Deletion of SUV3 suppressor 1) (Mitochondrial biogenesis protein MSU1)"
P32601,DSS4 YPR017C LPZ16C YP9531.11C,Protein DSS4
Q08225,YOL057W O1232,Probable dipeptidyl peptidase 3 (EC 3.4.14.4) (Dipeptidyl aminopeptidase III) (Dipeptidyl arylamidase III) (Dipeptidyl peptidase III) (DPP III)
Q99247,DUF1 YOL087C O0944,DUB-associated factor 1
P43616,DUG1 YFR044C,Cys-Gly metallodipeptidase DUG1 (EC 3.4.13.-) (Deficient in utilization of glutathione protein 1) (GSH degradosomal complex subunit DUG1)
P38149,DUG2 YBR281C YBR2018,Probable di- and tripeptidase DUG2 (EC 3.4.-.-) (Deficient in utilization of glutathione protein 2) (GSH degradosomal complex subunit DUG2)
P53871,DUG3 YNL191W N1410,Probable glutamine amidotransferase DUG3 (Deficient in utilization of glutathione protein 3) (GSH degradosomal complex subunit DUG3)
P38287,CSH1 YBR161W YBR1212,Mannosyl phosphorylinositol ceramide synthase CSH1 (EC 2.-.-.-) (CSG1/SUR1 homolog 1)
P39009,DUN1 YDL101C D2370,DNA damage response protein kinase DUN1 (EC 2.7.11.1)
Q08226,CRT10 YOL063C,Protein CRT10 (Constitutive RNR transcription regulator 10)
P32528,"DUR1,2 YBR208C YBR1448",Urea amidolyase [Includes: Urea carboxylase (EC 6.3.4.6); Allophanate hydrolase (EC 3.5.1.54)]
Q08054,CSI2 YOL007C,Chitin synthase 3 complex protein CSI2
P25651,CSM1 SPO86 YCR086W YCR86W,Monopolin complex subunit CSM1 (Chromosome segregation in meiosis protein 1)
P53854,CWC25 YNL245C N0901,Pre-mRNA-splicing factor CWC25 (Complexed with CEF1 protein 25)
P43497,CWP2 LPR1 YKL096W-A YKL096BW YKL444,Cell wall protein CWP2 (Low pH resistance protein 1)
P14922,CYC8 CRT8 SSN6 YBR112C YBR0908,General transcriptional corepressor CYC8 (Glucose repression mediator protein CYC8)
Q04792,GAD1 YMR250W YM9920.04,Glutamate decarboxylase (GAD) (EC 4.1.1.15)
P38903,RTS1 SCS1 YOR014W OR26.04,"Serine/threonine-protein phosphatase 2A 56 kDa regulatory subunit delta isoform (PP2A, B subunit, B' delta isoform) (Protein RTS1) (Protein SCS1)"
Q00955,ACC1 ABP2 FAS3 MTR7 YNR016C N3175,Acetyl-CoA carboxylase (ACC) (EC 6.4.1.2) (Fatty acid synthetase 3) (mRNA transport-defective protein 7) [Includes: Biotin carboxylase (EC 6.3.4.14)]
P31787,ACB1 ACB YGR037C,Acyl-CoA-binding protein (ACBP)
Q12471,PFK27 YOL136C,6-phosphofructo-2-kinase 2 (6PF-2-K 2) (EC 2.7.1.105) (Phosphofructokinase 2 II)
P53930,YAF9 YNL107W N1966,Protein AF-9 homolog
P18238,AAC3 YBR085W YBR0753,"ADP,ATP carrier protein 3 (ADP/ATP translocase 3) (Adenine nucleotide translocator 3) (ANT 3)"
P38065,APL3 YBL037W YBL0412,AP-2 complex subunit alpha (Alpha-adaptin) (Clathrin assembly protein complex 2 alpha large chain) (Clathrin assembly protein large alpha chain)
Q12674,DNF3 YMR162C YM8520.11C,Probable phospholipid-transporting ATPase DNF3 (EC 7.6.2.1) (Aminophospholipid translocase) (APT) (Phospholipid translocase) (PLT)
Q05611,BSC2 YDR275W,Bypass of stop codon protein 2
P36122,BCH2 FMP50 YKR027W,Protein BCH2 (BUD7 and CHS6 homolog 2)
P06182,CYC3 YAL039C,Holocytochrome-c synthase (EC 4.4.1.17) (Cytochrome c heme lyase) (CCHL)
P24869,CLB2 YPR119W P9642.6,G2/mitotic-specific cyclin-2
O13297,CET1 YPL228W P1433,mRNA-capping enzyme subunit beta (EC 3.1.3.33) (Polynucleotide 5'-triphosphatase) (mRNA 5'-triphosphatase) (TPase)
P00401,COX1 OXI3 Q0045,Cytochrome c oxidase subunit 1 (EC 7.1.1.9) (Cytochrome c oxidase polypeptide I)
Q05892,COQ11 MRX2 YLR290C,MIOREX complex component 2 (Mitochondrial organization of gene expression protein 2)
P31373,CYS3 CYI1 STR1 YAL012W FUN35,Cystathionine gamma-lyase (EC 4.4.1.1) (Gamma-cystathionase) (Sulfur transfer protein 1)
P15315,CUP2 ACE1 YGL166W G1810,Transcriptional activator protein CUP2 (Copper-fist transcription factor)
P18962,DAP2 YHR028C,Dipeptidyl aminopeptidase B (DPAP B) (EC 3.4.14.-) (YSCV)
P37298,SDH4 ACN18 YDR178W YD9395.11,"Succinate dehydrogenase [ubiquinone] cytochrome b small subunit, mitochondrial (CybS) (Succinate-ubiquinone reductase membrane anchor subunit)"
P47146,ABM1 YJR108W J1988,Aberrant microtubules protein 1
P40535,CST6 ACA2 YIL036W,ATF/CREB activator 2 (Chromosome stability protein CST6)
Q04516,AIM33 YML087C,Uncharacterized oxidoreductase AIM33 (EC 1.-.-.-) (Altered inheritance of mitochondria protein 33)
Q08702,HNT3 YOR258W,Aprataxin-like protein (EC 3.6.1.71) (EC 3.6.1.72) (Hit family protein 3)
P49089,ASN1 YPR145W P9659.3,Asparagine synthetase [glutamine-hydrolyzing] 1 (EC 6.3.5.4) (Glutamine-dependent asparagine synthetase 1)
P32660,DNF1 YER166W SYGP-ORF7,Phospholipid-transporting ATPase DNF1 (EC 7.6.2.1) (Flippase DNF1)
P40458,ATG32 ECM17 YIL146C,Autophagy-related protein 32 (Extracellular mutant protein 37)
P53946,ARP5 YNL059C N2430 YNL2430C,Actin-related protein 5 (Actin-like protein ARP5)
P53731,ARC35 YNR035C N3296,Actin-related protein 2/3 complex subunit 2 (Arp2/3 complex 34 kDa subunit) (p34-ARC)
Q05933,ARC18 YLR370C L8039.15,Actin-related protein 2/3 complex subunit 3 (Arp2/3 complex 21 kDa subunit) (p21-ARC)
Q12165,ATP16 YDL004W D2935 YD8119.03,"ATP synthase subunit delta, mitochondrial (F-ATPase delta subunit)"
P13587,ENA1 HOR6 PMR2 PMR2A YDR040C YD6888.02C,Sodium transport ATPase 1 (EC 7.2.2.3)
Q01896,ENA2 PMR2B YDR039C,Sodium transport ATPase 2 (EC 7.2.2.3)
Q12359,ATO3 YDR384C D9481.20 D9509.4,Ammonia transport outward protein 3
Q03153,ATP25 YMR098C YM6543.05C,"ATPase synthesis protein 25, mitochondrial (OLI1 mRNA stabilization factor)"
P22135,ATP12 YJL180C J0486,"Protein ATP12, mitochondrial"
P48524,BUL1 DAG1 RDS1 SMM2 YMR275C YM8021.01C YM8156.17C,Ubiquitin ligase-binding protein BUL1 (Respiration deficiency suppressor 1)
Q04749,AVO2 YMR068W YM9916.07,Target of rapamycin complex 2 subunit AVO2 (TORC2 subunit AVO2) (Adheres voraciously to TOR2 protein 2)
P85052,BUD25 YER014C-A,Bud site selection protein 25
P25385,BOS1 YLR078C L9449.9,Protein transport protein BOS1 (Bet one suppressor 1)
P06115,CTT1 YGR088W,Catalase T (EC 1.11.1.6)
P38221,CDS1 CDG1 YBR029C YBR0313,Phosphatidate cytidylyltransferase (EC 2.7.7.41) (CDP-diacylglycerol synthase) (CDP-DAG synthase) (CDS) (CDP-diglyceride pyrophosphorylase) (CDP-diglyceride synthase) (CDP-DG synthase) (CTP:phosphatidate cytidylyltransferase)
Q12262,MCM16 YPR046W,Inner kinetochore subunit MCM16 (CENP-H homolog) (Constitutive centromere-associated network protein MCM16) (Minichromosome maintenance protein 16)
P08004,CHS1 YNL192W N1404,Chitin synthase 1 (EC 2.4.1.16) (Chitin-UDP acetyl-glucosaminyl transferase 1)
P11433,CDC24 CLS4 YAL041W,Cell division control protein 24 (Calcium regulatory protein)
P08679,CIT2 YCR005C YCR043 YCR5C,"Citrate synthase, peroxisomal (EC 2.3.3.16)"
P38779,CIC1 NSA3 YHR052W,Proteasome-interacting protein CIC1 (Core interacting component 1)
Q12348,RRI2 CSN10 YOL117W,COP9 signalosome complex subunit 10
Q06538,CSC1 YLR241W,Calcium permeable stress-gated cation channel 1 (ScCSC1)
P53968,CRZ1 HAL8 TCN1 YNL027W N2760,Transcriptional regulator CRZ1
